paths	winner	count
123649875	0	9
1236547	1	7
123654879	1	9
123654897	1	9
1236549	1	7
123657489	1	9
123657498	0	9
123657849	1	9
123657894	0	9
1236579	1	7
123658479	1	9
123658497	1	9
1236587	1	7
1236589	1	7
123659478	0	9
123659487	1	9
1236597	1	7
123659847	1	9
123659874	0	9
1236745	1	7
12367485	2	8
123674895	1	9
12367495	2	8
123674985	1	9
1236754	1	7
12367584	2	8
123675894	1	9
12367594	2	8
12367598	2	8
1236784	1	7
1236785	1	7
123678945	1	9
12367895	2	8
1236794	1	7
1236795	1	7
123679845	1	9
123679854	1	9
123684579	1	9
123684597	1	9
12368475	2	8
123684795	1	9
12368495	2	8
123684975	1	9
123685479	0	9
123685497	1	9
12368574	2	8
123685794	1	9
12368594	2	8
123685974	0	9
123687459	0	9
123687495	0	9
123687549	1	9
123687594	0	9
123687945	1	9
123687954	0	9
123689457	1	9
123689475	0	9
123689547	1	9
123689574	0	9
123689745	1	9
123689754	1	9
1236945	1	7
12369475	2	8
123694785	1	9
12369485	2	8
123694875	1	9
123695478	0	9
12369548	2	8
12369574	2	8
12369578	2	8
12369584	2	8
123695874	0	9
123697458	0	9
123697485	1	9
1236975	1	7
123697845	1	9
123697854	0	9
12369845	2	8
123698475	1	9
1236985	1	7
123698745	1	9
12369875	2	8
12374568	2	8
123745698	0	9
123745869	0	9
123745896	0	9
123745968	0	9
12374598	2	8
123746589	1	9
123746598	0	9
123746859	0	9
123746895	0	9
123746958	0	9
123746985	1	9
123748569	1	9
12374859	2	8
12374865	2	8
12374869	2	8
12374895	2	8
123748965	1	9
123749568	0	9
12374958	2	8
123749658	0	9
12374968	2	8
123749856	0	9
123749865	0	9
123754689	1	9
123754698	0	9
123754869	1	9
123754896	0	9
1237549	1	7
123756489	1	9
123756498	0	9
123756849	1	9
123756894	0	9
1237569	1	7
123758469	1	9
12375849	2	8
123758649	1	9
12375869	2	8
1237589	1	7
123759468	0	9
12375948	2	8
123759648	0	9
12375968	2	8
123759846	0	9
123759864	0	9
123764589	1	9
123764598	0	9
123764859	1	9
123764895	0	9
1237649	1	7
12376548	2	8
123765498	0	9
123765849	1	9
123765894	0	9
1237659	1	7
12376845	2	8
12376849	2	8
123768549	1	9
12376859	2	8
1237689	1	7
123769458	0	9
12376948	2	8
123769548	0	9
12376958	2	8
123769845	0	9
123769854	0	9
123784569	1	9
123784596	0	9
123784659	1	9
123784695	0	9
123784956	1	9
123784965	1	9
123785469	0	9
123785496	0	9
123785649	1	9
123785694	0	9
123785946	1	9
123785964	0	9
123786459	0	9
123786495	0	9
123786549	1	9
123786594	0	9
123786945	1	9
123786954	0	9
123789456	0	9
123789465	0	9
123789546	0	9
123789564	0	9
123789645	0	9
123789654	0	9
1237945	1	7
1237946	1	7
123794856	1	9
123794865	1	9
123795468	0	9
12379548	2	8
1237956	1	7
123795846	1	9
123795864	0	9
123796458	0	9
123796485	1	9
1237965	1	7
123796845	1	9
123796854	0	9
12379845	2	8
123798465	1	9
1237985	1	7
1237986	1	7
123845	2	6
123846579	1	9
123846597	1	9
1238467	1	7
12384695	2	8
123846975	1	9
123847569	1	9
12384759	2	8
12384765	2	8
12384769	2	8
12384795	2	8
123847965	1	9
123849567	1	9
12384957	2	8
12384965	2	8
12384967	2	8
1238497	1	7
123854679	1	9
123854697	1	9
1238547	1	7
1238549	1	7
123856479	1	9
123856497	1	9
1238567	1	7
1238569	1	7
123857469	1	9
12385749	2	8
123857649	1	9
12385769	2	8
1238579	1	7
123859467	1	9
12385947	2	8
123859647	1	9
12385967	2	8
1238597	1	7
123864579	1	9
123864597	1	9
12386475	2	8
123864795	1	9
1238649	1	7
123865	2	6
12386745	2	8
12386749	2	8
123867549	1	9
12386759	2	8
1238679	1	7
12386945	2	8
12386947	2	8
123869547	1	9
12386957	2	8
123869745	1	9
12386975	2	8
1238745	1	7
12387465	2	8
123874695	1	9
12387495	2	8
123874965	1	9
123875	2	6
1238764	1	7
1238765	1	7
123876945	1	9
12387695	2	8
1238794	1	7
1238795	1	7
123879645	1	9
12387965	2	8
1238945	1	7
1238946	1	7
12389475	2	8
123894765	1	9
123895	2	6
12389645	2	8
123896475	1	9
1238965	1	7
123896745	1	9
12389675	2	8
12389745	2	8
123897465	1	9
1238975	1	7
1238976	1	7
123945678	0	9
12394568	2	8
1239457	1	7
123945867	1	9
123945876	0	9
123946578	0	9
123946587	1	9
1239467	1	7
123946857	1	9
123946875	0	9
123947568	0	9
12394758	2	8
123947658	0	9
12394768	2	8
123947856	0	9
123947865	0	9
123948567	1	9
12394857	2	8
12394865	2	8
12394867	2	8
1239487	1	7
123954678	0	9
123954687	1	9
1239547	1	7
123954867	1	9
123954876	0	9
123956478	0	9
123956487	1	9
1239567	1	7
123956847	1	9
123956874	0	9
123957468	0	9
12395748	2	8
123957648	0	9
12395768	2	8
123957846	0	9
123957864	0	9
123958467	1	9
12395847	2	8
123958647	1	9
12395867	2	8
1239587	1	7
123964578	0	9
123964587	1	9
123964758	0	9
123964785	1	9
123964857	0	9
123964875	0	9
123965478	0	9
12396548	2	8
123965748	0	9
12396578	2	8
123965847	0	9
123965874	0	9
123967458	0	9
12396748	2	8
123967548	0	9
12396758	2	8
123967845	0	9
123967854	0	9
12396845	2	8
12396847	2	8
123968547	1	9
12396857	2	8
123968745	1	9
12396875	2	8
1239745	1	7
123974658	0	9
123974685	1	9
123974856	0	9
123974865	1	9
1239754	1	7
123975648	0	9
12397568	2	8
123975846	0	9
123975864	1	9
1239764	1	7
1239765	1	7
123976845	1	9
123976854	1	9
1239784	1	7
1239785	1	7
123978645	1	9
12397865	2	8
123984567	1	9
123984576	0	9
123984657	0	9
123984675	0	9
123984756	0	9
123984765	1	9
123985467	1	9
123985476	0	9
123985647	0	9
123985674	0	9
123985746	0	9
123985764	1	9
123986457	1	9
123986475	0	9
123986547	1	9
123986574	0	9
123986745	1	9
123986754	1	9
123987456	0	9
123987465	0	9
123987546	0	9
123987564	0	9
123987645	0	9
123987654	0	9
1243567	1	7
124356879	1	9
12435689	2	8
1243569	1	7
1243576	1	7
124357869	1	9
124357896	1	9
1243579	1	7
1243586	1	7
1243587	1	7
1243589	1	7
1243596	1	7
1243597	1	7
12435986	2	8
124359876	1	9
1243657	1	7
12436587	2	8
124365897	1	9
12436597	2	8
12436598	2	8
1243675	1	7
12436785	2	8
124367895	1	9
12436795	2	8
124367985	1	9
1243685	1	7
1243687	1	7
12436895	2	8
124368975	1	9
1243695	1	7
1243697	1	7
124369857	1	9
124369875	1	9
12437	1	5
12438567	2	8
124385697	1	9
1243857	1	7
124385967	1	9
12438597	2	8
124386579	1	9
12438659	2	8
1243867	1	7
124386957	1	9
124386975	1	9
124387569	1	9
124387596	1	9
12438765	2	8
124387695	1	9
12438795	2	8
124387965	1	9
12438956	2	8
124389576	1	9
124389657	1	9
124389675	1	9
1243897	1	7
12439567	2	8
12439568	2	8
1243957	1	7
124395867	1	9
12439587	2	8
1243965	1	7
1243967	1	7
124396857	1	9
124396875	1	9
1243975	1	7
12439765	2	8
124397685	1	9
12439785	2	8
124397865	1	9
1243985	1	7
12439865	2	8
124398675	1	9
1243987	1	7
1245367	1	7
124536879	0	9
124536897	1	9
124536978	0	9
12453698	2	8
12453768	2	8
124537698	0	9
124537869	0	9
124537896	0	9
124537968	0	9
12453798	2	8
124538	2	6
124539678	0	9
12453968	2	8
1245397	1	7
124539867	1	9
124539876	0	9
1245637	1	7
12456387	2	8
124563897	1	9
12456397	2	8
12456398	2	8
12456738	2	8
124567398	0	9
12456783	2	8
124567893	0	9
12456793	2	8
12456798	2	8
124568	2	6
124569378	0	9
12456938	2	8
1245697	1	7
124569837	1	9
124569873	0	9
12457	1	5
12458367	2	8
124583697	1	9
1245837	1	7
124583967	1	9
12458397	2	8
124586379	0	9
124586397	1	9
1245867	1	7
124586937	1	9
124586973	0	9
124587369	0	9
124587396	0	9
12458763	2	8
124587693	0	9
12458793	2	8
124587963	0	9
124589367	1	9
124589376	0	9
124589637	1	9
124589673	0	9
1245897	1	7
12459367	2	8
12459368	2	8
1245937	1	7
124593867	1	9
12459387	2	8
124596378	0	9
12459638	2	8
1245967	1	7
124596837	1	9
124596873	0	9
124597368	0	9
12459738	2	8
12459763	2	8
12459768	2	8
12459783	2	8
124597863	0	9
124598	2	6
1246357	1	7
124635879	0	9
124635897	1	9
124635978	0	9
12463598	2	8
124637589	1	9
124637598	0	9
124637859	0	9
124637895	0	9
124637958	0	9
124637985	1	9
124638579	1	9
124638597	1	9
1246387	1	7
12463895	2	8
124638975	1	9
124639578	0	9
124639587	1	9
1246397	1	7
124639857	1	9
124639875	0	9
1246537	1	7
124653879	1	9
12465389	2	8
1246539	1	7
124657389	1	9
124657398	0	9
124657839	1	9
124657893	0	9
1246579	1	7
124658379	1	9
124658397	1	9
1246587	1	7
1246589	1	7
124659378	0	9
124659387	1	9
1246597	1	7
12465983	2	8
124659873	0	9
12467	1	5
124683579	1	9
12468359	2	8
1246837	1	7
124683957	1	9
124683975	1	9
124685379	0	9
124685397	1	9
1246857	1	7
124685937	1	9
124685973	0	9
124687359	0	9
124687395	0	9
124687539	1	9
124687593	0	9
124687935	1	9
124687953	0	9
124689357	1	9
124689375	0	9
12468953	2	8
124689573	0	9
1246897	1	7
1246935	1	7
1246937	1	7
124693857	1	9
124693875	1	9
124695378	0	9
12469538	2	8
1246957	1	7
124695837	1	9
124695873	0	9
124697358	0	9
124697385	1	9
1246975	1	7
124697835	1	9
124697853	0	9
12469835	2	8
124698375	1	9
1246985	1	7
1246987	1	7
12473568	2	8
124735698	0	9
124735869	0	9
124735896	0	9
124735968	0	9
12473598	2	8
124736589	1	9
124736598	0	9
124736859	0	9
124736895	0	9
124736958	0	9
124736985	1	9
124738569	1	9
12473859	2	8
12473865	2	8
12473869	2	8
12473895	2	8
124738965	1	9
124739568	0	9
12473958	2	8
124739658	0	9
12473968	2	8
124739856	0	9
124739865	0	9
1247536	1	7
124753869	1	9
124753896	1	9
1247539	1	7
124756389	1	9
124756398	0	9
124756839	1	9
124756893	0	9
1247569	1	7
124758369	1	9
12475839	2	8
1247586	1	7
1247589	1	7
124759368	0	9
12475938	2	8
1247596	1	7
124759836	1	9
124759863	0	9
1247635	1	7
12476385	2	8
124763895	1	9
12476395	2	8
124763985	1	9
12476538	2	8
124765398	0	9
12476583	2	8
124765893	0	9
12476593	2	8
12476598	2	8
12476835	2	8
12476839	2	8
1247685	1	7
124768935	1	9
12476895	2	8
124769358	0	9
12476938	2	8
1247695	1	7
124769835	1	9
124769853	0	9
124783569	1	9
124783596	1	9
12478365	2	8
124783695	1	9
12478395	2	8
124783965	1	9
124785369	0	9
124785396	0	9
12478563	2	8
124785693	0	9
12478593	2	8
124785963	0	9
124786359	0	9
124786395	0	9
124786539	1	9
124786593	0	9
124786935	1	9
124786953	0	9
124789356	0	9
124789365	0	9
124789536	1	9
124789563	0	9
124789635	1	9
124789653	0	9
1247935	1	7
12479365	2	8
124793685	1	9
12479385	2	8
124793865	1	9
124795368	0	9
12479538	2	8
12479563	2	8
12479568	2	8
12479583	2	8
124795863	0	9
124796358	0	9
124796385	1	9
1247965	1	7
124796835	1	9
124796853	0	9
12479835	2	8
124798365	1	9
1247985	1	7
124798635	1	9
12479865	2	8
124835	2	6
124836579	1	9
124836597	1	9
1248367	1	7
12483695	2	8
124836975	1	9
124837569	1	9
12483759	2	8
12483765	2	8
12483769	2	8
12483795	2	8
124837965	1	9
124839567	1	9
12483957	2	8
12483965	2	8
12483967	2	8
1248397	1	7
1248536	1	7
1248537	1	7
1248539	1	7
124856379	1	9
124856397	1	9
1248567	1	7
1248569	1	7
124857369	1	9
12485739	2	8
1248576	1	7
1248579	1	7
124859367	1	9
12485937	2	8
1248596	1	7
1248597	1	7
1248635	1	7
1248637	1	7
12486395	2	8
124863975	1	9
124865	2	6
12486735	2	8
12486739	2	8
1248675	1	7
124867935	1	9
12486795	2	8
12486935	2	8
12486937	2	8
1248695	1	7
1248697	1	7
12487	1	5
1248935	1	7
12489365	2	8
124893675	1	9
1248937	1	7
124895	2	6
12489635	2	8
124896375	1	9
1248965	1	7
1248967	1	7
12489735	2	8
124897365	1	9
1248975	1	7
124897635	1	9
12489765	2	8
124935678	0	9
12493568	2	8
1249357	1	7
124935867	1	9
124935876	0	9
124936578	0	9
124936587	1	9
1249367	1	7
124936857	1	9
124936875	0	9
124937568	0	9
12493758	2	8
124937658	0	9
12493768	2	8
124937856	0	9
124937865	0	9
124938567	1	9
12493857	2	8
12493865	2	8
12493867	2	8
1249387	1	7
1249536	1	7
1249537	1	7
12495386	2	8
124953876	1	9
124956378	0	9
124956387	1	9
1249567	1	7
12495683	2	8
124956873	0	9
124957368	0	9
12495738	2	8
1249576	1	7
124957836	1	9
124957863	0	9
124958367	1	9
12495837	2	8
1249586	1	7
1249587	1	7
1249635	1	7
1249637	1	7
124963857	1	9
124963875	1	9
124965378	0	9
12496538	2	8
1249657	1	7
124965837	1	9
124965873	0	9
124967358	0	9
12496738	2	8
1249675	1	7
124967835	1	9
124967853	0	9
12496835	2	8
12496837	2	8
1249685	1	7
1249687	1	7
12497	1	5
12498356	2	8
124983576	1	9
124983657	1	9
124983675	1	9
1249837	1	7
124985367	1	9
124985376	0	9
124985637	1	9
124985673	0	9
1249857	1	7
124986357	1	9
124986375	0	9
12498653	2	8
124986573	0	9
1249867	1	7
124987356	0	9
124987365	0	9
124987536	1	9
124987563	0	9
124987635	1	9
124987653	0	9
1253467	1	7
125346879	1	9
12534689	2	8
1253469	1	7
1253476	1	7
125347869	1	9
125347896	1	9
1253479	1	7
1253486	1	7
1253487	1	7
1253489	1	7
1253496	1	7
1253497	1	7
12534986	2	8
125349876	1	9
125364789	1	9
125364798	0	9
125364879	1	9
125364897	0	9
1253649	1	7
1253674	1	7
125367849	1	9
125367894	1	9
1253679	1	7
1253684	1	7
125368749	1	9
125368794	1	9
1253689	1	7
1253694	1	7
125369748	0	9
125369784	1	9
125369847	0	9
125369874	1	9
125374689	1	9
125374698	0	9
125374869	1	9
125374896	0	9
1253749	1	7
1253764	1	7
125376849	1	9
12537689	2	8
1253769	1	7
1253784	1	7
125378649	1	9
125378694	1	9
1253789	1	7
1253794	1	7
125379648	0	9
125379684	1	9
125379846	0	9
12537986	2	8
125384679	1	9
125384697	0	9
125384769	1	9
125384796	0	9
1253849	1	7
125386479	1	9
12538649	2	8
125386749	1	9
12538679	2	8
1253869	1	7
125387469	1	9
125387496	1	9
125387649	1	9
125387694	1	9
1253879	1	7
12538946	2	8
125389476	1	9
125389647	0	9
125389674	1	9
125389746	0	9
12538976	2	8
12539	1	5
1254367	1	7
125436879	1	9
125436897	1	9
1254369	1	7
125437689	1	9
125437698	0	9
125437869	1	9
125437896	0	9
1254379	1	7
125438679	1	9
125438697	1	9
1254387	1	7
1254389	1	7
125439678	0	9
125439687	1	9
1254397	1	7
125439867	1	9
125439876	0	9
125463789	1	9
125463798	0	9
125463879	1	9
125463897	0	9
1254639	1	7
125467389	1	9
125467398	0	9
125467839	1	9
125467893	0	9
1254679	1	7
125468379	1	9
125468397	1	9
125468739	1	9
125468793	1	9
1254689	1	7
125469378	0	9
125469387	1	9
125469738	0	9
125469783	1	9
125469837	0	9
125469873	0	9
125473689	1	9
125473698	0	9
125473869	1	9
125473896	0	9
1254739	1	7
1254763	1	7
125476839	1	9
125476893	1	9
1254769	1	7
1254783	1	7
125478639	1	9
125478693	1	9
1254789	1	7
1254793	1	7
125479638	0	9
125479683	1	9
125479836	0	9
125479863	1	9
125483679	1	9
125483697	0	9
125483769	1	9
125483796	0	9
1254839	1	7
125486379	1	9
125486397	1	9
125486739	1	9
125486793	1	9
1254869	1	7
125487369	1	9
125487396	0	9
125487639	1	9
125487693	0	9
1254879	1	7
125489367	1	9
125489376	0	9
125489637	0	9
125489673	0	9
125489736	0	9
125489763	1	9
12549	1	5
1256347	1	7
125634879	1	9
125634897	1	9
1256349	1	7
125637489	1	9
125637498	0	9
125637849	1	9
125637894	0	9
1256379	1	7
125638479	1	9
125638497	1	9
1256387	1	7
1256389	1	7
125639478	0	9
125639487	1	9
1256397	1	7
125639847	1	9
125639874	0	9
1256437	1	7
125643879	1	9
12564389	2	8
1256439	1	7
125647389	1	9
125647398	0	9
125647839	1	9
125647893	0	9
1256479	1	7
125648379	1	9
125648397	1	9
1256487	1	7
1256489	1	7
125649378	0	9
125649387	1	9
1256497	1	7
12564983	2	8
125649873	0	9
1256734	1	7
125673849	1	9
12567389	2	8
1256739	1	7
1256743	1	7
125674839	1	9
125674893	1	9
1256749	1	7
1256783	1	7
1256784	1	7
1256789	1	7
1256793	1	7
1256794	1	7
12567983	2	8
125679843	1	9
125683479	1	9
12568349	2	8
125683749	1	9
12568379	2	8
1256839	1	7
125684379	1	9
125684397	1	9
125684739	1	9
125684793	1	9
1256849	1	7
125687349	1	9
125687394	0	9
125687439	1	9
125687493	0	9
1256879	1	7
125689347	1	9
125689374	0	9
12568943	2	8
125689473	0	9
12568973	2	8
125689743	1	9
12569	1	5
125734689	1	9
125734698	0	9
125734869	1	9
125734896	0	9
1257349	1	7
125736489	1	9
125736498	0	9
125736849	1	9
125736894	0	9
1257369	1	7
125738469	1	9
12573849	2	8
125738649	1	9
12573869	2	8
1257389	1	7
125739468	0	9
12573948	2	8
125739648	0	9
12573968	2	8
125739846	0	9
125739864	0	9
1257436	1	7
125743869	1	9
125743896	1	9
1257439	1	7
125746389	1	9
125746398	0	9
125746839	1	9
125746893	0	9
1257469	1	7
125748369	1	9
12574839	2	8
1257486	1	7
1257489	1	7
125749368	0	9
12574938	2	8
1257496	1	7
125749836	1	9
125749863	0	9
1257634	1	7
125763849	1	9
125763894	1	9
1257639	1	7
125764389	1	9
125764398	0	9
125764839	1	9
125764893	0	9
1257649	1	7
125768349	1	9
12576839	2	8
1257684	1	7
1257689	1	7
125769348	0	9
12576938	2	8
1257694	1	7
125769834	1	9
125769843	0	9
125783469	1	9
125783496	1	9
125783649	1	9
125783694	1	9
1257839	1	7
125784369	1	9
125784396	0	9
125784639	1	9
125784693	0	9
1257849	1	7
125786349	1	9
125786394	0	9
125786439	1	9
125786493	0	9
1257869	1	7
125789346	0	9
125789364	0	9
125789436	1	9
125789463	0	9
125789634	1	9
125789643	0	9
12579	1	5
125834679	1	9
125834697	1	9
1258347	1	7
1258349	1	7
125836479	1	9
125836497	1	9
1258367	1	7
1258369	1	7
125837469	1	9
12583749	2	8
125837649	1	9
12583769	2	8
1258379	1	7
125839467	1	9
12583947	2	8
125839647	1	9
12583967	2	8
1258397	1	7
1258436	1	7
1258437	1	7
1258439	1	7
125846379	1	9
125846397	1	9
1258467	1	7
1258469	1	7
125847369	1	9
12584739	2	8
1258476	1	7
1258479	1	7
125849367	1	9
12584937	2	8
1258496	1	7
1258497	1	7
1258634	1	7
125863749	1	9
125863794	1	9
1258639	1	7
125864379	1	9
125864397	1	9
125864739	1	9
125864793	1	9
1258649	1	7
125867349	1	9
12586739	2	8
1258674	1	7
1258679	1	7
125869347	1	9
12586937	2	8
1258694	1	7
125869734	1	9
125869743	1	9
1258734	1	7
125873649	1	9
125873694	1	9
1258739	1	7
1258743	1	7
125874639	1	9
125874693	1	9
1258749	1	7
1258763	1	7
1258764	1	7
1258769	1	7
1258793	1	7
1258794	1	7
125879634	1	9
125879643	1	9
12589	1	5
125934678	0	9
125934687	1	9
1259347	1	7
125934867	1	9
125934876	0	9
125936478	0	9
125936487	1	9
1259367	1	7
125936847	1	9
125936874	0	9
125937468	0	9
12593748	2	8
125937648	0	9
12593768	2	8
125937846	0	9
125937864	0	9
125938467	1	9
12593847	2	8
125938647	1	9
12593867	2	8
1259387	1	7
1259436	1	7
1259437	1	7
12594386	2	8
125943876	1	9
125946378	0	9
125946387	1	9
1259467	1	7
12594683	2	8
125946873	0	9
125947368	0	9
12594738	2	8
1259476	1	7
125947836	1	9
125947863	0	9
125948367	1	9
12594837	2	8
1259486	1	7
1259487	1	7
1259634	1	7
125963748	0	9
125963784	1	9
125963847	0	9
125963874	1	9
125964378	0	9
125964387	1	9
125964738	0	9
125964783	1	9
125964837	0	9
125964873	0	9
125967348	0	9
12596738	2	8
1259674	1	7
125967834	1	9
125967843	0	9
125968347	1	9
12596837	2	8
1259684	1	7
125968734	1	9
125968743	1	9
1259734	1	7
125973648	0	9
125973684	1	9
125973846	0	9
12597386	2	8
1259743	1	7
125974638	0	9
125974683	1	9
125974836	0	9
125974863	1	9
1259763	1	7
1259764	1	7
12597683	2	8
125976843	1	9
1259783	1	7
1259784	1	7
125978634	1	9
125978643	1	9
12598346	2	8
125983476	1	9
125983647	0	9
125983674	1	9
125983746	0	9
12598376	2	8
125984367	1	9
125984376	0	9
125984637	0	9
125984673	0	9
125984736	0	9
125984763	1	9
125986347	1	9
125986374	0	9
12598643	2	8
125986473	0	9
12598673	2	8
125986743	1	9
125987346	0	9
125987364	0	9
125987436	1	9
125987463	0	9
125987634	1	9
125987643	0	9
1263457	1	7
12634587	2	8
126345897	1	9
12634597	2	8
12634598	2	8
1263475	1	7
12634785	2	8
126347895	1	9
12634795	2	8
126347985	1	9
1263485	1	7
1263487	1	7
12634895	2	8
126348975	1	9
1263495	1	7
1263497	1	7
126349857	1	9
126349875	1	9
126354789	1	9
126354798	0	9
126354879	1	9
126354897	0	9
1263549	1	7
1263574	1	7
126357849	1	9
126357894	1	9
1263579	1	7
1263584	1	7
126358749	1	9
126358794	1	9
1263589	1	7
1263594	1	7
126359748	0	9
126359784	1	9
126359847	0	9
126359874	1	9
126374589	1	9
126374598	0	9
126374859	1	9
126374895	0	9
126374958	1	9
126374985	1	9
1263754	1	7
126375849	1	9
126375894	1	9
126375948	1	9
12637598	2	8
1263784	1	7
126378549	1	9
126378594	1	9
126378945	1	9
12637895	2	8
1263794	1	7
126379548	0	9
126379584	1	9
126379845	0	9
126379854	1	9
126384579	1	9
126384597	0	9
126384759	1	9
126384795	0	9
126384957	1	9
126384975	1	9
12638547	2	8
126385497	1	9
126385749	1	9
126385794	1	9
126385947	1	9
12638597	2	8
12638745	2	8
126387495	1	9
126387549	1	9
126387594	1	9
126387945	1	9
12638795	2	8
126389457	1	9
126389475	1	9
126389547	0	9
126389574	1	9
126389745	0	9
126389754	1	9
1263945	1	7
126394758	1	9
126394785	1	9
126394857	1	9
126394875	1	9
12639547	2	8
12639548	2	8
126395748	1	9
12639578	2	8
126395847	1	9
12639587	2	8
12639745	2	8
126397485	1	9
1263975	1	7
126397845	1	9
12639785	2	8
12639845	2	8
126398475	1	9
1263985	1	7
126398745	1	9
12639875	2	8
12643578	2	8
126435798	0	9
126435879	1	9
126435897	0	9
1264359	1	7
126437589	1	9
126437598	0	9
126437859	1	9
126437895	0	9
1264379	1	7
126438579	1	9
126438597	1	9
12643875	2	8
126438795	1	9
1264389	1	7
126439578	0	9
126439587	1	9
126439758	0	9
126439785	1	9
126439857	0	9
126439875	0	9
126453789	1	9
126453798	0	9
126453879	1	9
126453897	0	9
1264539	1	7
126457389	1	9
126457398	0	9
126457839	1	9
126457893	0	9
1264579	1	7
126458379	1	9
126458397	1	9
126458739	1	9
126458793	1	9
1264589	1	7
126459378	0	9
126459387	1	9
126459738	0	9
126459783	1	9
126459837	0	9
126459873	0	9
126473589	1	9
126473598	0	9
126473859	1	9
126473895	0	9
126473958	1	9
126473985	1	9
12647538	2	8
126475398	0	9
126475839	1	9
126475893	0	9
126475938	1	9
12647598	2	8
12647835	2	8
126478395	1	9
126478539	1	9
126478593	1	9
126478935	1	9
12647895	2	8
126479358	0	9
126479385	1	9
126479538	0	9
126479583	1	9
126479835	0	9
126479853	0	9
126483579	1	9
126483597	0	9
126483759	1	9
126483795	0	9
126483957	1	9
126483975	1	9
126485379	1	9
126485397	0	9
126485739	1	9
126485793	0	9
126485937	1	9
126485973	1	9
126487359	1	9
126487395	0	9
126487539	1	9
126487593	0	9
126487935	1	9
126487953	1	9
126489357	0	9
126489375	0	9
126489537	0	9
126489573	0	9
126489735	0	9
126489753	0	9
1264935	1	7
126493758	1	9
126493785	1	9
126493857	1	9
126493875	1	9
1264953	1	7
126495738	1	9
12649578	2	8
126495837	1	9
126495873	1	9
1264973	1	7
1264975	1	7
126497835	1	9
126497853	1	9
1264983	1	7
1264985	1	7
126498735	1	9
12649875	2	8
12653478	2	8
126534798	0	9
126534879	1	9
126534897	0	9
1265349	1	7
12653748	2	8
126537498	0	9
126537849	1	9
126537894	0	9
1265379	1	7
126538	2	6
126539478	0	9
12653948	2	8
126539748	0	9
12653978	2	8
126539847	0	9
126539874	0	9
1265437	1	7
12654387	2	8
126543897	1	9
12654397	2	8
12654398	2	8
12654738	2	8
126547398	0	9
12654783	2	8
126547893	0	9
12654793	2	8
12654798	2	8
126548	2	6
126549378	0	9
